"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что при клике на вопрос в разделе FAQ появляется соответствующий ответ.","1520","Проверка отображения ответа на вопрос FAQ","tests","Sun Jun 15 03:18:30 MSK 2025","passed","Sun Jun 15 03:18:31 MSK 2025","TestFaqSection","test_main_page","",""
"Проверяем, что при клике на вопрос в разделе FAQ появляется соответствующий ответ.","1363","Проверка отображения ответа на вопрос FAQ","tests","Sun Jun 15 03:18:18 MSK 2025","passed","Sun Jun 15 03:18:19 MSK 2025","TestFaqSection","test_main_page","",""
"Проверяем, что при клике на вопрос в разделе FAQ появляется соответствующий ответ.","1318","Проверка отображения ответа на вопрос FAQ","tests","Sun Jun 15 03:19:05 MSK 2025","passed","Sun Jun 15 03:19:07 MSK 2025","TestFaqSection","test_main_page","",""
"Проверяем, что при переходе на страницу заказа и клике по логотипу ""Самокат"" происходит возврат на главную.","4010","Клик по логотипу ""Самокат"" возвращает на главную страницу","tests","Sun Jun 15 03:17:47 MSK 2025","passed","Sun Jun 15 03:17:51 MSK 2025","TestLogoNavigation","test_logo_click","",""
"Проверяем, что клик по логотипу Яндекса открывает новую вкладку с сайтом dzen.ru.","5306","Клик по логотипу ""Яндекс"" открывает Дзен в новой вкладке","tests","Sun Jun 15 03:18:01 MSK 2025","passed","Sun Jun 15 03:18:07 MSK 2025","TestLogoNavigation","test_logo_click","",""
"Заполняем форму заказа самоката данными пользователя и проверяем, что заказ оформлен успешно.","4698","Проверка заказа самоката через кнопку ""top""","tests","Sun Jun 15 03:19:52 MSK 2025","passed","Sun Jun 15 03:19:57 MSK 2025","TestScooterOrder","test_order_page","",""
"Проверяем, что при клике на вопрос в разделе FAQ появляется соответствующий ответ.","1529","Проверка отображения ответа на вопрос FAQ","tests","Sun Jun 15 03:18:54 MSK 2025","passed","Sun Jun 15 03:18:55 MSK 2025","TestFaqSection","test_main_page","",""
"Проверяем, что при клике на вопрос в разделе FAQ появляется соответствующий ответ.","1502","Проверка отображения ответа на вопрос FAQ","tests","Sun Jun 15 03:18:41 MSK 2025","passed","Sun Jun 15 03:18:43 MSK 2025","TestFaqSection","test_main_page","",""
"Заполняем форму заказа самоката данными пользователя и проверяем, что заказ оформлен успешно.","4679","Проверка заказа самоката через кнопку ""bottom""","tests","Sun Jun 15 03:20:37 MSK 2025","passed","Sun Jun 15 03:20:42 MSK 2025","TestScooterOrder","test_order_page","",""
"Проверяем, что при клике на вопрос в разделе FAQ появляется соответствующий ответ.","1309","Проверка отображения ответа на вопрос FAQ","tests","Sun Jun 15 03:19:29 MSK 2025","passed","Sun Jun 15 03:19:30 MSK 2025","TestFaqSection","test_main_page","",""
"Заполняем форму заказа самоката данными пользователя и проверяем, что заказ оформлен успешно.","4696","Проверка заказа самоката через кнопку ""bottom""","tests","Sun Jun 15 03:20:23 MSK 2025","passed","Sun Jun 15 03:20:27 MSK 2025","TestScooterOrder","test_order_page","",""
"Заполняем форму заказа самоката данными пользователя и проверяем, что заказ оформлен успешно.","4641","Проверка заказа самоката через кнопку ""top""","tests","Sun Jun 15 03:20:08 MSK 2025","passed","Sun Jun 15 03:20:12 MSK 2025","TestScooterOrder","test_order_page","",""
"Проверяем, что при клике на вопрос в разделе FAQ появляется соответствующий ответ.","1568","Проверка отображения ответа на вопрос FAQ","tests","Sun Jun 15 03:19:17 MSK 2025","passed","Sun Jun 15 03:19:18 MSK 2025","TestFaqSection","test_main_page","",""
"Проверяем, что при клике на вопрос в разделе FAQ появляется соответствующий ответ.","1709","Проверка отображения ответа на вопрос FAQ","tests","Sun Jun 15 03:19:40 MSK 2025","passed","Sun Jun 15 03:19:42 MSK 2025","TestFaqSection","test_main_page","",""
